country,score,uid,time_stamp,name
AO,7,1,"2024-01-24 20:55:53.425769","Liam White"
DE,56,2,"2024-01-21 20:55:53.472344","Jackson Brown"
RS,189,3,"2024-01-24 20:55:53.478916","Aiden Smith"
SI,448,4,"2024-01-23 20:55:53.484814","Lucas Moore"
LI,875,5,"2024-01-12 20:55:53.490371","Ethan Anderson"
BD,512,6,"2024-01-17 20:55:53.495265","Harper Wilson"
NC,401,7,"2024-01-18 20:55:53.499857","Alexander Martinez"
HT,584,8,"2024-01-19 20:55:53.504680","Emma Turner"
KY,103,9,"2024-01-15 20:55:53.510150","Noah Thompson"
BO,0,10,"2024-01-18 20:55:53.515424","Mia Miller"
IN,317,11,"2024-01-17 20:55:53.520256","Sophia Lee"
ML,96,12,"2024-01-19 20:55:53.525459","Ava Taylor"
RU,379,13,"2024-01-11 20:55:53.529863","Olivia Davis"
BY,208,14,"2024-01-23 20:55:53.534435","Isabella Harris"
TK,625,15,"2024-01-16 20:55:53.539467","Emily Johnson"
CA,672,16,"2024-01-17 20:55:53.543638","Liam White"
BQ,391,17,"2024-01-15 20:55:53.547823","Jackson Brown"
VE,824,18,"2024-01-13 20:55:53.552427","Aiden Smith"
SO,13,19,"2024-01-13 20:55:53.557096","Lucas Moore"
TR,0,20,"2024-01-13 20:55:53.562695","Ethan Anderson"
GQ,827,21,"2024-01-21 20:55:53.566799","Harper Wilson"
GN,536,22,"2024-01-15 20:55:53.571776","Alexander Martinez"
AT,169,23,"2024-01-16 20:55:53.576704","Emma Turner"
MX,768,24,"2024-01-19 20:55:53.582284","Noah Thompson"
EG,375,25,"2024-01-23 20:55:53.586867","Mia Miller"
BM,32,26,"2024-01-22 20:55:53.591877","Sophia Lee"
GM,781,27,"2024-01-13 20:55:53.597890","Ava Taylor"
BS,664,28,"2024-01-15 20:55:53.604822","Olivia Davis"
MZ,723,29,"2024-01-15 20:55:53.610801","Isabella Harris"
AR,0,30,"2024-01-15 20:55:53.618320","Emily Johnson"
KZ,537,31,"2024-01-14 20:55:53.624574","Liam White"
CN,376,32,"2024-01-12 20:55:53.630014","Jackson Brown"
FI,559,33,"2024-01-18 20:55:53.636499","Aiden Smith"
US,128,34,"2024-01-13 20:55:53.641733","Lucas Moore"
GG,125,35,"2024-01-18 20:55:53.647761","Ethan Anderson"
MU,592,36,"2024-01-14 20:55:53.653747","Harper Wilson"
YE,571,37,"2024-01-19 20:55:53.659527","Alexander Martinez"
MN,104,38,"2024-01-14 20:55:53.667117","Emma Turner"
MR,233,39,"2024-01-20 20:55:53.673221","Noah Thompson"
CR,0,40,"2024-01-24 20:55:53.678038","Mia Miller"
LV,447,41,"2024-01-21 20:55:53.684920","Sophia Lee"
SH,616,42,"2024-01-15 20:55:53.691734","Ava Taylor"
BW,549,43,"2024-01-23 20:55:53.696971","Olivia Davis"
PS,288,44,"2024-01-18 20:55:53.702759","Isabella Harris"
QA,875,45,"2024-01-22 20:55:53.706220","Emily Johnson"
GR,352,46,"2024-01-23 20:55:53.710146","Liam White"
PM,761,47,"2024-01-22 20:55:53.714348","Jackson Brown"
AG,144,48,"2024-01-17 20:55:53.718624","Aiden Smith"
ID,543,49,"2024-01-12 20:55:53.722775","Lucas Moore"
AX,0,50,"2024-01-17 20:55:53.726520","Ethan Anderson"
BZ,557,51,"2024-01-18 20:55:53.730580","Harper Wilson"
ST,256,52,"2024-01-16 20:55:53.734961","Alexander Martinez"
